"symbol","company_name","challenge_name","ticker","exchange","quote_currency","currency","quote_scale","sector","industry","challenge_sector","market_cap","market_cap_currency","market_cap_date","market_cap_date_basis","market_cap_precision","retrieved_date","listing_status","flags","notes","alternative_symbols","source_row","quote_url","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"MMM","3M Company","3M Company","MMM","NYSE","USD","USD","1","Industrials","Conglomerates","Industrie","83882254336","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","2","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/",""
"AOS","A. O. Smith Corporation","AO Smith Corp","AOS","NYSE","USD","USD","1","Industrials","Specialty Industrial Machinery","Matériaux","7731838976","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","52","https://finance.yahoo.com/quote/AOS/","https://finance.yahoo.com/quote/AOS/","https://query2.finance.yahoo.com/v1/finance/search?q=AOS&quotesCount=3&newsCount=0","https://finance.yahoo.com/quote/AOS/",""
"MAERSK-B.CO","A.P. Møller - Mærsk A/S","A.P.MOLLER-MAERSK A/S","MAERSK B","Nasdaq Copenhagen","DKK","DKK","1","Industrials","Marine Shipping","Industrie","323612246016","DKK","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","share class not confirmed","share-class","B shares selected; challenge share class not confirmed.","","3","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/",""
"AALB.AS","Aalberts N.V.","AALBERTS N.V.","AALB","Euronext Amsterdam","EUR","EUR","1","Industrials","Specialty Industrial Machinery","Industrie","4305856000","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","4","https://finance.yahoo.com/quote/AALB.AS/","https://finance.yahoo.com/quote/AALB.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AALBERTS+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AALB.AS/",""
"ABBN.SW","ABB Ltd","ABB LTD.","ABBN","SIX Swiss Exchange","CHF","CHF","1","Industrials","Electrical Equipment & Parts","Industrie","141749518336","CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","6","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/",""
"ABT","Abbott Laboratories","Abbott Laboratories","ABT","NYSE","USD","USD","1","Healthcare","Medical Devices","Soins de santé","177122033664","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","7","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/",""
"ABBV","AbbVie Inc.","ABBVIE","ABBV","NYSE","USD","USD","1","Healthcare","Drug Manufacturers - General","Soins de santé","463885991936","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","8","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/",""
"ABN.AS","ABN AMRO Bank N.V.","ABN AMRO BANK N.V.","ABN","Euronext Amsterdam","EUR","EUR","1","Financial Services","Banks — Diversified","Finance","35343761408","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","9","https://finance.yahoo.com/quote/ABN.AS/","https://finance.yahoo.com/quote/ABN.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ABN+AMRO+BANK+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ABN.AS/",""
"ACN","Accenture plc","Accenture PLC","ACN","NYSE","USD","USD","1","Technology","Information Technology Services","IT","116048699392","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","10","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/",""
"AC.PA","Accor SA","ACCOR","AC","Euronext Paris","EUR","EUR","1","Consumer Cyclical","Lodging","Consommation discrétionnaire","10460667904","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","11","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/",""
"AXS.AS","Accsys Technologies PLC","ACCSYS TECHNOLOGIES PLC","AXS","Euronext Amsterdam","EUR","EUR","1","Basic Materials","Lumber & Wood Production","Matériaux","193020000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","12","https://stockanalysis.com/quote/ams/AXS/","https://query2.finance.yahoo.com/v8/finance/chart/AXS.AS?interval=1d&range=1d","https://query2.finance.yahoo.com/v1/finance/search?q=ACCSYS+TECHNOLOGIES+PLC&quotesCount=8&newsCount=0","https://stockanalysis.com/list/euronext-amsterdam/",""
"ACKB.BR","Ackermans & Van Haaren NV","ACKERMANS V.HAAREN","ACKB","Euronext Brussels","EUR","EUR","1","Industrials","Engineering & Construction","Finance","8923883520","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","13","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/","https://finance.yahoo.com/quote/ACKB.BR/",""
"ACOMO.AS","Acomo N.V.","ACOMO N.V.","ACOMO","Euronext Amsterdam","EUR","EUR","1","Consumer Defensive","Food Distribution","Biens de consommation courants","692085632","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","14","https://finance.yahoo.com/quote/ACOMO.AS/","https://finance.yahoo.com/quote/ACOMO.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ACOMO+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ACOMO.AS/",""
"ADEN.SW","Adecco Group AG","ADECCO GROUP AG","ADEN","SIX Swiss Exchange","CHF","CHF","1","Industrials","Staffing & Employment Services","Industrie","4107730432","CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","15","https://finance.yahoo.com/quote/ADEN.SW/","https://finance.yahoo.com/quote/ADEN.SW/","https://query2.finance.yahoo.com/v1/finance/search?q=ADECCO+GROUP+AG&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ADEN.SW/",""
"ADS.DE","adidas AG","ADIDAS AG","ADS","Xetra","EUR","EUR","1","Consumer Cyclical","Footwear & Accessories","Consommation discrétionnaire","25322844160","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","16","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/","https://finance.yahoo.com/quote/ADS.DE/",""
"ADBE","Adobe Inc.","Adobe","ADBE","Nasdaq Global Select Market","USD","USD","1","Technology","Software - Application","IT","99573751808","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","17","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/","https://finance.yahoo.com/quote/ADBE/",""
"AMD","Advanced Micro Devices, Inc.","Advanced Micro Devices","AMD","Nasdaq Global Select Market","USD","USD","1","Technology","Semiconductors","IT","836643454976","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","18","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/","https://finance.yahoo.com/quote/AMD/",""
"ADYEN.AS","Adyen N.V.","ADYEN","ADYEN","Euronext Amsterdam","EUR","EUR","1","Technology","Software - Infrastructure","IT","28874039296","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","19","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/","https://finance.yahoo.com/quote/ADYEN.AS/",""
"AED.BR","Aedifica NV/SA","AEDIFICA","AED","Euronext Brussels","EUR","EUR","1","Real Estate","REIT — Healthcare Facilities","Immobilier","5513172992","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","20","https://finance.yahoo.com/quote/AED.BR/","https://finance.yahoo.com/quote/AED.BR/","https://query2.finance.yahoo.com/v1/finance/search?q=AEDIFICA&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AED.BR/",""
"AGN.AS","Aegon Ltd.","AEGON","AGN","Euronext Amsterdam","EUR","EUR","1","Financial Services","Insurance - Diversified","Finance","11660000000","EUR","2026-09-16","retrieval date of daily exchange list","rounded source display","2026-09-16","company matched to selected lookup listing","rounded-cap","","","21","https://finance.yahoo.com/quote/AGN.AS/","https://finance.yahoo.com/quote/AGN.AS/","https://finance.yahoo.com/quote/AGN.AS/","https://stockanalysis.com/list/euronext-amsterdam/",""
"AJAX.AS","AFC Ajax NV","AJAX","AJAX","Euronext Amsterdam","EUR","EUR","1","Communication Services","Entertainment","Autres","155833328","EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","32","https://finance.yahoo.com/quote/AJAX.AS/","https://finance.yahoo.com/quote/AJAX.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AJAX&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AJAX.AS/",""
"AMG","Affiliated Managers Group, Inc.","Affiliated Managers Group","AMG","NYSE","USD","USD","1","Financial Services","Asset Management","Finance","8865302528","USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","company matched to selected lookup listing","","","","22","https://finance.yahoo.com/quote/AMG/","https://finance.yahoo.com/quote/AMG/","https://query2.finance.yahoo.com/v1/finance/search?q=Affiliated+Managers+Group&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AMG/",""
