"challenge_name","company_name","ticker","exchange","yahoo_symbol","quote_url","quote_currency","sector","industry","market_cap","market_cap_currency","market_cap_source_date","market_cap_date_basis","market_cap_precision","data_retrieved_date","challenge_sector","listing_match_status","notes","alternative_yahoo_symbols","listing_source_url","classification_source_url","market_cap_source_url","supplemental_source_url"
"3M Company","3M Company","MMM","NYSE","MMM","https://finance.yahoo.com/quote/MMM/","USD","Industrials","Conglomerates",83882254336,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/","https://finance.yahoo.com/quote/MMM/",""
"A.P.MOLLER-MAERSK A/S","A.P. Møller - Mærsk A/S","MAERSK B","Nasdaq Copenhagen","MAERSK-B.CO","https://finance.yahoo.com/quote/MAERSK-B.CO/","DKK","Industrials","Marine Shipping",323612246016,"DKK","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","share class not confirmed","B shares selected; challenge share class not confirmed.","","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/","https://finance.yahoo.com/quote/MAERSK-B.CO/",""
"AALBERTS N.V.","Aalberts N.V.","AALB","Euronext Amsterdam","AALB.AS","https://finance.yahoo.com/quote/AALB.AS/","EUR","Industrials","Specialty Industrial Machinery",4305856000,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AALB.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=AALBERTS+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/AALB.AS/",""
"AB INBEV","Anheuser-Busch InBev SA/NV","ABI","Euronext Brussels","ABI.BR","https://finance.yahoo.com/quote/ABI.BR/","EUR","Consumer Defensive","Beverages - Brewers",135948656640,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Biens de consommation courants","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/","https://finance.yahoo.com/quote/ABI.BR/",""
"ABB LTD.","ABB Ltd","ABBN","SIX Swiss Exchange","ABBN.SW","https://finance.yahoo.com/quote/ABBN.SW/","CHF","Industrials","Electrical Equipment & Parts",141749518336,"CHF","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Industrie","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/","https://finance.yahoo.com/quote/ABBN.SW/",""
"Abbott Laboratories","Abbott Laboratories","ABT","NYSE","ABT","https://finance.yahoo.com/quote/ABT/","USD","Healthcare","Medical Devices",177122033664,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/","https://finance.yahoo.com/quote/ABT/",""
"ABBVIE","AbbVie Inc.","ABBV","NYSE","ABBV","https://finance.yahoo.com/quote/ABBV/","USD","Healthcare","Drug Manufacturers - General",463885991936,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Soins de santé","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/","https://finance.yahoo.com/quote/ABBV/",""
"ABN AMRO BANK N.V.","ABN AMRO Bank N.V.","ABN","Euronext Amsterdam","ABN.AS","https://finance.yahoo.com/quote/ABN.AS/","EUR","Financial Services","Banks—Diversified",35343761408,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Finance","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ABN.AS/","https://query2.finance.yahoo.com/v1/finance/search?q=ABN+AMRO+BANK+N.V.&quotesCount=8&newsCount=0","https://finance.yahoo.com/quote/ABN.AS/",""
"Accenture PLC","Accenture plc","ACN","NYSE","ACN","https://finance.yahoo.com/quote/ACN/","USD","Technology","Information Technology Services",116048699392,"USD","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","IT","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/","https://finance.yahoo.com/quote/ACN/",""
"ACCOR","Accor SA","AC","Euronext Paris","AC.PA","https://finance.yahoo.com/quote/AC.PA/","EUR","Consumer Cyclical","Lodging",10460667904,"EUR","2026-09-16","quote date shown by market-cap source","provider raw value","2026-09-16","Consommation discrétionnaire","company matched to selected lookup listing","","","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/","https://finance.yahoo.com/quote/AC.PA/",""
